238,29.03,29.03,5.51,0,4.76,9.52,19.04,4.34,0.42,4.06,0.7,3.56,1.2,3.44,1.32
240,29.28,29.28,5.76,0,4.8,9.6,19.2,4.38,0.42,4.1,0.7,3.6,1.2,3.48,1.32
242,29.52,29.52,6.34,0,4.84,9.68,19.36,4.42,0.42,4.14,0.7,3.64,1.2,3.52,1.32
244,29.76,29.76,6.92,0,4.88,9.76,19.52,4.46,0.42,4.18,0.7,3.68,1.2,3.56,1.32
246,30.01,30.01,7.5,0,4.92,9.84,19.68,4.5,0.42,4.22,0.7,3.72,1.2,3.6,1.32
248,30.25,30.25,8.08,0,4.96,9.92,19.84,4.54,0.42,4.26,0.7,3.76,1.2,3.64,1.32
250,30.5,30.5,8.66,0,5,10,20,4.48,0.52,4.13,0.87,3.5,1.5,3.35,1.65
252,30.74,30.74,9.24,0,5.04,10.08,20.16,4.52,0.52,4.17,0.87,3.54,1.5,3.39,1.65
254,30.98,30.98,9.82,0,5.08,10.16,20.32,4.56,0.52,4.21,0.87,3.58,1.5,3.43,1.65
256,31.23,31.23,10.4,0,5.12,10.24,20.48,4.6,0.52,4.25,0.87,3.62,1.5,3.47,1.65
258,31.47,31.47,10.98,0,5.16,10.32,20.64,4.64,0.52,4.29,0.87,3.66,1.5,3.51,1.65
260,31.72,31.72,11.56,0,5.2,10.4,20.8,4.68,0.52,4.33,0.87,3.7,1.5,3.55,1.65
262,31.96,31.96,12.14,0,5.24,10.48,20.96,4.72,0.52,4.37,0.87,3.74,1.5,3.59,1.65
264,32.2,32.2,12.72,0,5.28,10.56,21.12,4.76,0.52,4.41,0.87,3.78,1.5,3.63,1.65
266,32.45,32.45,13.3,0,5.32,10.64,21.28,4.8,0.52,4.45,0.87,3.82,1.5,3.67,1.65
268,32.69,32.69,13.88,0,5.36,10.72,21.44,4.84,0.52,4.49,0.87,3.86,1.5,3.71,1.65
270,32.94,32.94,14.46,0,5.4,10.8,21.6,4.88,0.52,4.53,0.87,3.9,1.5,3.75,1.65
272,33.18,33.18,15.04,0,5.44,10.88,21.76,4.92,0.52,4.57,0.87,3.94,1.5,3.79,1.65
274,33.42,33.42,15.62,0,5.48,10.96,21.92,4.96,0.52,4.61,0.87,3.98,1.5,3.83,1.65
